iter	RMSE
0	22.74198714
1	22.46697337
2	22.20814484
3	21.97318887
4	21.73049524
5	21.48854146
6	21.26211092
7	21.02981635
8	20.80489924
9	20.59922343
10	20.40121355
11	20.205546
12	20.01963532
13	19.85383673
14	19.69719534
15	19.53002112
16	19.38667775
17	19.22626098
18	19.08183994
19	18.92835813
20	18.78949941
21	18.63500337
22	18.52329617
23	18.39376766
24	18.28875192
25	18.16447158
26	18.06381082
27	17.96125233
28	17.85608937
29	17.73756889
30	17.62078449
31	17.51824888
32	17.41171064
33	17.32124233
34	17.22299059
35	17.13801335
36	17.06364776
37	16.97513237
38	16.89988895
39	16.81288843
40	16.73188862
41	16.65784095
42	16.57361986
43	16.50438312
44	16.43660332
45	16.3678088
46	16.29144732
47	16.2229476
48	16.15953236
49	16.10098478
50	16.03503575
51	15.982373
52	15.93040844
53	15.86389591
54	15.79626049
55	15.74339952
56	15.6923387
57	15.64055691
58	15.58884754
59	15.5354828
60	15.49702005
61	15.45247756
62	15.40659405
63	15.35525143
64	15.29395821
65	15.25085068
66	15.21407249
67	15.17515665
68	15.12712548
69	15.08992859
70	15.04749106
71	15.00097766
72	14.961888
73	14.92018914
74	14.89364783
75	14.84624625
76	14.80457255
77	14.77388671
78	14.7336931
79	14.67974616
80	14.63242937
81	14.60113133
82	14.55870794
83	14.53120061
84	14.50966772
85	14.46064226
86	14.41891672
87	14.37939513
88	14.34178601
89	14.2933887
90	14.26834226
91	14.22922121
92	14.19252369
93	14.14998898
94	14.11562322
95	14.07505413
96	14.04782739
97	14.0132434
98	13.99077164
99	13.95965092
100	13.93296959
101	13.8996426
102	13.87572891
103	13.84687119
104	13.81855834
105	13.80057989
106	13.77906874
107	13.73580582
108	13.6993396
109	13.68164873
110	13.66739947
111	13.63138776
112	13.59440342
113	13.56418613
114	13.52931321
115	13.50257579
116	13.473454
117	13.44137172
118	13.40863372
119	13.37510542
120	13.35350119
121	13.3296763
122	13.29510241
123	13.26551731
124	13.24555308
125	13.21253845
126	13.18957961
127	13.16756415
128	13.12936136
129	13.09741312
130	13.08477716
131	13.05691212
132	13.03306659
133	13.01186462
134	12.99163761
135	12.9650713
136	12.93113076
137	12.90307579
138	12.87464553
139	12.85875829
140	12.84116963
141	12.81555008
142	12.78977644
143	12.76421529
144	12.73928133
145	12.72670763
146	12.71462418
147	12.69858549
148	12.67515036
149	12.65510407
150	12.62844336
151	12.60444533
152	12.58149881
153	12.56133885
154	12.54846413
155	12.52276509
156	12.51129083
