iter	Passed	Remaining
0	67	33736
1	80	19973
2	94	15677
3	107	13317
4	120	11899
5	136	11270
6	147	10411
7	158	9726
8	168	9210
9	179	8791
10	190	8484
11	202	8244
12	214	8017
13	227	7883
14	237	7691
15	248	7523
16	259	7363
17	271	7268
18	282	7140
19	297	7138
20	316	7211
21	333	7240
22	346	7194
23	360	7141
24	374	7108
25	387	7068
26	411	7213
27	445	7515
28	470	7649
29	489	7665
30	499	7557
31	510	7458
32	522	7389
33	543	7455
34	571	7589
35	586	7561
36	607	7603
37	630	7668
38	649	7676
39	666	7669
40	682	7639
41	692	7556
42	703	7478
43	713	7397
44	724	7324
45	734	7248
46	745	7181
47	755	7114
48	769	7080
49	780	7022
50	790	6961
51	800	6900
52	814	6866
53	824	6809
54	836	6767
55	846	6713
56	857	6665
57	868	6614
58	878	6566
59	889	6526
60	901	6490
61	912	6449
62	924	6413
63	934	6368
64	946	6332
65	974	6409
66	1003	6483
67	1021	6491
68	1033	6452
69	1049	6447
70	1062	6418
71	1072	6376
72	1082	6334
73	1093	6293
74	1104	6257
75	1117	6234
76	1128	6197
77	1138	6159
78	1148	6122
79	1160	6090
80	1170	6055
81	1187	6053
82	1207	6064
83	1218	6033
84	1231	6014
85	1241	5976
86	1251	5942
87	1262	5910
88	1273	5882
89	1284	5851
90	1295	5822
91	1309	5805
92	1319	5774
93	1331	5751
94	1349	5753
95	1368	5757
96	1390	5776
97	1421	5832
98	1455	5893
99	1494	5976
100	1523	6017
101	1559	6085
102	1589	6126
103	1624	6186
104	1642	6180
105	1662	6179
106	1681	6175
107	1697	6160
108	1718	6163
109	1745	6188
110	1764	6183
111	1788	6194
112	1817	6225
113	1833	6209
114	1850	6196
115	1865	6176
116	1879	6152
117	1895	6137
118	1907	6107
119	1920	6080
120	1931	6048
121	1941	6015
122	1951	5982
123	1961	5948
124	1971	5914
125	1981	5881
126	1992	5851
127	2002	5819
128	2013	5789
129	2042	5811
130	2058	5797
131	2073	5781
132	2090	5767
133	2106	5753
134	2122	5739
135	2136	5718
136	2151	5699
137	2164	5678
138	2176	5651
139	2187	5623
140	2201	5604
141	2217	5590
142	2237	5584
143	2251	5566
144	2272	5564
145	2291	5556
146	2302	5529
147	2312	5500
148	2327	5482
149	2344	5469
150	2362	5459
151	2380	5451
152	2399	5441
153	2417	5431
154	2440	5431
155	2463	5432
156	2490	5441
157	2511	5436
158	2531	5428
159	2546	5412
160	2562	5396
161	2591	5406
162	2629	5435
163	2662	5455
164	2694	5470
165	2714	5462
166	2728	5441
167	2741	5418
168	2760	5406
169	2775	5387
170	2787	5362
171	2797	5334
172	2808	5307
173	2818	5280
174	2828	5253
175	2838	5226
176	2849	5200
177	2861	5175
178	2871	5149
179	2881	5122
180	2891	5095
181	2901	5070
182	2912	5045
183	2923	5019
184	2933	4994
185	2946	4974
186	2961	4956
187	2975	4938
188	2989	4918
189	3009	4910
190	3026	4897
191	3042	4880
192	3075	4892
193	3094	4880
194	3118	4877
195	3133	4860
196	3143	4835
197	3153	4810
198	3165	4788
199	3175	4763
200	3186	4740
201	3198	4719
202	3209	4695
203	3222	4675
204	3232	4651
205	3242	4627
206	3253	4604
207	3263	4580
208	3281	4569
209	3300	4557
210	3310	4533
211	3320	4511
212	3331	4489
213	3341	4466
214	3352	4444
215	3363	4421
216	3373	4399
217	3383	4376
218	3394	4355
219	3405	4334
220	3419	4316
221	3436	4303
222	3447	4282
223	3459	4262
224	3470	4241
225	3486	4226
226	3503	4213
227	3518	4197
228	3528	4175
229	3540	4156
230	3552	4136
231	3564	4117
232	3576	4098
233	3588	4078
234	3601	4061
235	3612	4041
236	3622	4019
237	3632	3999
238	3642	3977
239	3655	3959
240	3665	3939
241	3676	3919
242	3687	3899
243	3697	3879
244	3707	3859
245	3718	3839
246	3728	3818
247	3738	3799
248	3748	3779
249	3761	3761
250	3771	3741
251	3782	3721
252	3797	3707
253	3807	3688
254	3817	3668
255	3830	3650
256	3840	3631
257	3851	3612
258	3861	3593
259	3873	3575
260	3883	3555
261	3893	3536
262	3903	3517
263	3913	3498
264	3923	3479
265	3934	3461
266	3945	3443
267	3957	3425
268	3967	3406
269	3976	3387
270	3986	3368
271	3997	3350
272	4007	3332
273	4017	3313
274	4027	3295
275	4037	3276
276	4047	3258
277	4068	3249
278	4085	3236
279	4097	3219
280	4113	3206
281	4128	3191
282	4146	3179
283	4159	3163
284	4174	3148
285	4188	3133
286	4200	3117
287	4213	3101
288	4227	3086
289	4239	3069
290	4250	3052
291	4260	3034
292	4274	3019
293	4284	3002
294	4294	2984
295	4305	2967
296	4315	2949
297	4326	2932
298	4336	2915
299	4352	2901
300	4366	2886
301	4376	2869
302	4386	2851
303	4396	2834
304	4410	2820
305	4438	2813
306	4450	2797
307	4465	2783
308	4483	2771
309	4493	2754
310	4507	2739
311	4525	2726
312	4535	2709
313	4547	2693
314	4558	2677
315	4568	2660
316	4578	2643
317	4589	2626
318	4599	2609
319	4609	2592
320	4619	2575
321	4629	2559
322	4639	2542
323	4650	2525
324	4660	2509
325	4670	2492
326	4679	2475
327	4690	2459
328	4700	2443
329	4710	2426
330	4726	2413
331	4753	2405
332	4776	2395
333	4792	2381
334	4812	2370
335	4827	2356
336	4843	2342
337	4853	2326
338	4863	2309
339	4873	2293
340	4883	2277
341	4894	2261
342	4904	2245
343	4914	2228
344	4932	2216
345	4948	2202
346	4963	2188
347	4980	2175
348	4992	2160
349	5003	2144
350	5016	2129
351	5029	2114
352	5050	2103
353	5060	2087
354	5070	2071
355	5081	2055
356	5091	2039
357	5102	2023
358	5112	2008
359	5122	1992
360	5134	1977
361	5145	1961
362	5155	1945
363	5167	1930
364	5179	1915
365	5191	1900
366	5207	1887
367	5220	1872
368	5234	1858
369	5246	1843
370	5261	1829
371	5275	1815
372	5288	1800
373	5300	1785
374	5313	1771
375	5326	1756
376	5342	1743
377	5354	1728
378	5365	1712
379	5375	1697
380	5385	1682
381	5396	1666
382	5411	1653
383	5424	1638
384	5434	1623
385	5446	1608
386	5456	1593
387	5467	1578
388	5477	1562
389	5486	1547
390	5501	1533
391	5511	1518
392	5523	1503
393	5534	1488
394	5543	1473
395	5557	1459
396	5574	1446
397	5590	1432
398	5606	1419
399	5616	1404
400	5627	1389
401	5637	1374
402	5648	1359
403	5658	1344
404	5668	1329
405	5679	1314
406	5695	1301
407	5706	1286
408	5728	1274
409	5737	1259
410	5747	1244
411	5758	1229
412	5768	1215
413	5780	1200
414	5791	1186
415	5800	1171
416	5810	1156
417	5820	1141
418	5830	1127
419	5840	1112
420	5850	1097
421	5860	1083
422	5871	1068
423	5883	1054
424	5894	1040
425	5920	1028
426	5938	1015
427	5952	1001
428	5962	986
429	5973	972
430	5984	958
431	5994	943
432	6004	929
433	6016	914
434	6027	900
435	6037	886
436	6048	871
437	6058	857
438	6071	843
439	6082	829
440	6092	815
441	6113	802
442	6130	788
443	6143	774
444	6154	760
445	6164	746
446	6174	732
447	6184	717
448	6195	703
449	6205	689
450	6216	675
451	6227	661
452	6238	647
453	6248	633
454	6258	619
455	6269	604
456	6279	590
457	6290	576
458	6300	562
459	6310	548
460	6320	534
461	6332	520
462	6348	507
463	6368	494
464	6395	481
465	6439	469
466	6472	457
467	6494	444
468	6524	431
469	6538	417
470	6559	403
471	6590	390
472	6604	376
473	6614	362
474	6624	348
475	6637	334
476	6651	320
477	6662	306
478	6672	292
479	6681	278
480	6693	264
481	6706	250
482	6717	236
483	6727	222
484	6738	208
485	6748	194
486	6766	180
487	6780	166
488	6796	152
489	6809	138
490	6826	125
491	6843	111
492	6858	97
493	6871	83
494	6884	69
495	6899	55
496	6912	41
497	6934	27
498	6950	13
499	6962	0
